"CO2_per_capita","GDP_growth","Urban_Pop_Pct","Fertility_Rate","Median_Age","Density","Energy_Per_Capita_kWh","Population","CO2_total_tons"
1,-0.145,0.806,-0.352,0.486,-0.084,0.965,-0.354,0.404
-0.145,1,-0.196,0.098,-0.15,-0.056,-0.161,0.072,0.002
0.806,-0.196,1,-0.454,0.541,0.181,0.853,-0.37,0.267
-0.352,0.098,-0.454,1,-0.905,-0.484,-0.441,-0.027,-0.279
0.486,-0.15,0.541,-0.905,1,0.396,0.568,-0.028,0.327
-0.084,-0.056,0.181,-0.484,0.396,1,0.009,0.19,0.119
0.965,-0.161,0.853,-0.441,0.568,0.009,1,-0.372,0.369
-0.354,0.072,-0.37,-0.027,-0.028,0.19,-0.372,1,0.669
0.404,0.002,0.267,-0.279,0.327,0.119,0.369,0.669,1
