"Variable","Mean","Median","SD","Min","Max","Skew"
"CO2_per_capita",7.318,3.52,12.176,0.04,134.24,4.939
"GDP_growth",4.311,4.963,6.264,-21.426,25.289,-0.607
"Urban_Pop_Pct",55.94,55.35,26.325,5.8,99.9,0.065
"Fertility_Rate",3.149,2.705,1.718,0.66,8.86,1.015
"Median_Age",25.101,24.3,7.166,13.5,49.4,0.731
"Density",782.141,107,2661.057,1,23797,5.792
"Energy_Per_Capita_kWh",32297.064,13364.548,45549.655,231.273,200308.068,2.074
"Population",87092287.568,14194294,249852086.728,116350,1450935791,4.331
"CO2_total_tons",304307671.964,36933595,1266788216.104,15515,13124727993,8.188
